🔐 Getting Azure AD token for PostgreSQL...
✅ Token acquired successfully
🚀 Connecting to PostgreSQL...
id,user_id,whatsapp_message_id,message_type,content,intent,entities,sentiment,context,mem0_memory_id,azure_openai_request_id,processing_time_ms,created_at,assistant_personality,message_relevance
98d966e3-4720-4881-b620-1ddd05faa15f,f9733171-49e7-49a5-bec4-964669584bff,,incoming,I want to lose 10 pounds,,,,,,,,2025-06-20 08:22:05.985043+00,,goal_related
928f6af6-9d73-4a08-a3d2-56eb060e14e4,9cc239f4-2cda-4331-bbe3-50beacb783fc,,incoming,I want to lose 10 pounds,,,,,,,,2025-06-20 08:24:40.953606+00,,goal_related
de1e0468-c266-4cd2-91a8-db5955a2b1d2,9cc239f4-2cda-4331-bbe3-50beacb783fc,,outgoing,That's a solid goal! Let's break it down into daily actions.,,,,,,,250,2025-06-20 08:24:42.871981+00,goggins,system
4fea7c30-15de-4b31-9eeb-49911bbd1c4c,f6471fc1-d6a9-4340-b23b-0842ee388e8a,,incoming,I want to lose 20 pounds,,,,,,,,2025-06-20 09:00:49.542568+00,,unknown
016cf37a-6efd-4b84-b47e-f140f0215699,f6471fc1-d6a9-4340-b23b-0842ee388e8a,,outgoing,That's a solid goal! Let's break it down.,,,,,,,,2025-06-20 09:00:51.764063+00,goggins,system
53d328c5-a979-4de1-ab64-8bcef8313272,f6471fc1-d6a9-4340-b23b-0842ee388e8a,,incoming,I want to lose 20 pounds,,,,,,,,2025-06-20 09:01:44.156587+00,,goal_related
5529f213-cdbd-46a5-b9e0-59472c963d46,f6471fc1-d6a9-4340-b23b-0842ee388e8a,,outgoing,That's a solid goal! Let's break it down.,,,,,,,,2025-06-20 09:01:46.811973+00,goggins,system
be3f3e45-c1ff-4dcb-be1a-fcb0451d9e3b,052143e9-2573-455c-bac2-9e3d71c990f2,test_final_db_128,incoming,I want to lose 20 pounds this year,,,,,,,,2025-06-20 09:21:00.929876+00,,small_talk
c9012079-2637-4f76-ab93-bdd807364269,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,20 pounds? Break it down monthly. Start today!,,,,,,chatcmpl-BkSDbVOPoltcFPsy7udWRlZE9Ud5G,,2025-06-20 09:21:01.289488+00,goggins,system
73219f66-8bbc-49df-9fbd-7867c2187f2f,052143e9-2573-455c-bac2-9e3d71c990f2,test_conversation_working_129,incoming,I want to lose 20 pounds this year,,,,,,,,2025-06-20 09:23:14.338456+00,,small_talk
792b6c70-7d89-4aee-81b3-1f515cc536da,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,Start today. No excuses. Get moving now! 🏃‍♂️💥,,,,,,chatcmpl-BkSFkGmtaV043yo7ZqDNyhHUOadlY,,2025-06-20 09:23:14.690459+00,goggins,system
0c5bb54a-d654-450e-9524-479fed97e105,052143e9-2573-455c-bac2-9e3d71c990f2,test_db_functions_001,incoming,Test message for database functions,,,,,,,,2025-06-20 09:25:09.184744+00,,goal_related
2a55d0af-292c-4367-bec3-2523e8ef31a4,052143e9-2573-455c-bac2-9e3d71c990f2,test_conversation_final_SUCCESS_130,incoming,I want to lose 20 pounds this year and need help staying motivated,,,,,,,,2025-06-20 09:25:29.095079+00,,small_talk
8e013725-c636-46a8-a0a1-e41ffccaa027,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,"20 pounds, 12 months. Start NOW! No excuses! 💪",,,,,,chatcmpl-BkSHvhMTK7bLLQPtHk5hRqr7YN58O,,2025-06-20 09:25:29.48309+00,goggins,system
3b650ffa-314f-4f94-a8a3-585cf0ecb111,052143e9-2573-455c-bac2-9e3d71c990f2,test_context_awareness_131,incoming,What did I say my goal was?,,,,,,,,2025-06-20 09:26:09.693414+00,,goal_related
8d28cfbe-0b67-4020-8415-ba1d8d033063,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,Stop asking. Start achieving now! 🏁,,,,,,chatcmpl-BkSIaCGa0Jnv2l0BoF11ASzqA2NKy,,2025-06-20 09:26:10.06338+00,goggins,system
191bf0b1-27ea-4f8f-9d53-90613bcc2d50,052143e9-2573-455c-bac2-9e3d71c990f2,,incoming,What did I say my goal was earlier?,,,,,,,,2025-06-20 09:28:46.231423+00,,goal_related
f550cfc5-a0bb-403f-8572-272cbd0835d6,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,"(""You set a goal; now take action! Do it now!"",chatcmpl-BkSL7tsjfp7L2a0bXbuyJgPaOb8L2)",,,,,,,,2025-06-20 09:28:46.57325+00,goggins,system
f0ec25bd-64a8-4892-9b88-530331efece0,052143e9-2573-455c-bac2-9e3d71c990f2,test_final_success_132,incoming,I need motivation to start exercising,,,,,,,,2025-06-20 09:29:12.805311+00,,unknown
924c9e4e-e1cf-4735-bffe-041f7ccdabfc,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,Stop talking. Start moving! No excuses! 💪,,,,,,chatcmpl-BkSLXiusPX5evLOXIl9MxGLjgue3N,,2025-06-20 09:29:13.166844+00,goggins,system
fef4c86f-6a5b-474c-98a1-7a71c23a9683,052143e9-2573-455c-bac2-9e3d71c990f2,,incoming,I want to lose 30 pounds by summer,,,,,,,,2025-06-20 09:33:44.268231+00,,goal_related
66b59ff0-ec5a-4914-aa49-b8b6319a00dc,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,Summer goal: 30 pounds. Start today! No slacking! 🌞🏋️‍♂️,,,,,,chatcmpl-BkSPvwf6SWOcenZsDJvv4z4dfFDYd,,2025-06-20 09:33:44.647057+00,goggins,system
7e65bd56-c7de-4436-8846-a600bf44a2d6,052143e9-2573-455c-bac2-9e3d71c990f2,test_final_conversation_persistence_SUCCESS,incoming,How should I start my weight loss journey?,,,,,,,,2025-06-20 09:34:13.306028+00,,unknown
a4bfe603-bdc2-4279-b407-40d735a21f93,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,"Clean eating, daily workouts. Begin NOW! No excuses! 💪",,,,,,chatcmpl-BkSQNSAIOQ9ecMUzv2ovw0YoYY20p,,2025-06-20 09:34:13.641754+00,goggins,system
25b1ca03-1041-4a44-bdd2-7d6082d972d0,052143e9-2573-455c-bac2-9e3d71c990f2,test_message_classification_DEBUG,incoming,I need help reaching my goal,,,,,,,,2025-06-20 09:34:50.452852+00,,small_talk
cae199fe-d932-40ba-8fe7-13030a193612,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,Get moving! No excuses. Push every day! 💥,,,,,,chatcmpl-BkSQyuZ0PzA2glTcjSW4q3lQneyVt,,2025-06-20 09:34:50.845603+00,goggins,system
c3cc7494-1fb3-459f-a23e-3dc2e120c352,052143e9-2573-455c-bac2-9e3d71c990f2,test_db_functions_001,incoming,Test message for database functions,,,,,,,,2025-06-20 09:35:11.299235+00,,goal_related
c16a7be9-ab9a-4b60-98c0-f47ffcdf2437,052143e9-2573-455c-bac2-9e3d71c990f2,,incoming,What was my original weight loss goal?,,,,,,,,2025-06-20 09:37:25.480611+00,,goal_related
72cef5f5-c8bd-4e72-9a86-612b51fc3086,052143e9-2573-455c-bac2-9e3d71c990f2,,outgoing,30 pounds. Summer deadline. Get after it!,,,,,,chatcmpl-BkSTUNWFapFUKztVZEyHxkcM6PL7P,,2025-06-20 09:37:25.825201+00,goggins,system
5c5022ab-d461-443a-a79f-bd627af6dcba,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTQ5NTdDNDJFMTA2N0Q3NzdGRQA=,incoming,Hi there! Tell me everything you know about me,,,,,,,,2025-06-20 09:39:03.162951+00,,small_talk
f4dfc9e8-82b3-40ad-b71e-d392e1c2d9d6,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,No fluff. Focus on your tasks now! Get after it! 💪,,,,,,chatcmpl-BkSV3OGtd0HiqZRYoeTOvqNcIS1BL,,2025-06-20 09:39:03.489732+00,goggins,system
59760870-cac9-4522-8bc9-5a87f68acec5,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQURDMTVDQzNGQUZCRTgyRTY2MAA=,incoming,You haven’t answered my question,,,,,,,,2025-06-20 09:39:23.713876+00,,unknown
88e227ef-a0cb-475b-95a5-6ace960e0e87,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,"No time for chit-chat. Stop asking, start achieving! 🚀",,,,,,chatcmpl-BkSVOAcXABJZJAiJHpER4w91UOBMM,,2025-06-20 09:39:24.040609+00,goggins,system
96ad774e-73cf-4753-a155-2566287f72e0,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTk5NUNGQjgzOTgzOTcyRERFMQA=,incoming,What was my goal again?,,,,,,,,2025-06-20 09:39:41.794346+00,,goal_related
a016841f-2177-4245-9a51-4537c33efd2f,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,"You know your goal. Stop thinking, start doing! 🏃‍♂️",,,,,,chatcmpl-BkSVgd1yNXSUEhcRO0SeUeN7824Zv,,2025-06-20 09:39:42.133022+00,goggins,system
c1eb1252-eaec-4ca7-ad72-2ec01d3dbf60,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQUJCM0EzMDdDNDU1MDc0MTFDQQA=,incoming,You’re not answering my question,,,,,,,,2025-06-20 09:40:05.04789+00,,unknown
5b884e23-c8ad-4e3d-8548-9970f99193ee,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,"No excuses. Recall your goal, tackle it now! 💥",,,,,,chatcmpl-BkSW38qhWdGx40byZ8YFCrzNhHshN,,2025-06-20 09:40:05.399597+00,goggins,system
f0d4e5da-1da4-493c-8c14-0445f5ff0eed,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQURCRjEyMjg2RTM1NDgwMDA2NgA=,incoming,What are my goals though? I forgot what goals I defined.,,,,,,,,2025-06-20 09:40:39.982309+00,,goal_related
0dd48c6e-d27e-468a-b70c-6d96c834728e,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,"Find your notes, set your goals, then crush them! 📚🚀",,,,,,chatcmpl-BkSWcvoEiALCGMB5LW4i2QrHy7dKK,,2025-06-20 09:40:40.339081+00,goggins,system
1b59780b-a4d1-480f-8dbc-7a0b3ee78140,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQUVDOTM3ODk3MURFNEUyRjdFNAA=,incoming,I wanna lose 20 pounds by December,,,,,,,,2025-06-20 09:41:05.505826+00,,goal_related
d785772e-4a6d-4e6b-8cf0-3050de907ab9,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,"Great! Stop talking, start sweating! No excuses! 🏋️‍♂️",,,,,,chatcmpl-BkSX2D5eqrNlEDA2BKYSzBhJp8Omz,,2025-06-20 09:41:05.853198+00,goggins,system
cf25df00-075c-49dc-bd2c-90defaa0bf02,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTY3MkRBQkQyQzJCQkU1MTZFQwA=,incoming,Right how do I do it?,,,,,,,,2025-06-20 09:41:16.6938+00,,unknown
75841dda-d2e8-4646-acdd-bf8d7f599c0e,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,Eat clean. Move daily. Repeat relentlessly. 📅🔥,,,,,,chatcmpl-BkSXDW91F4xGJYPXsFm2dZZoqvkEG,,2025-06-20 09:41:17.06325+00,goggins,system
2a794c5a-c795-4d46-b047-3cb5a4742a21,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQUFCNERGMzI3REM5MEQ2NjkwNQA=,incoming,Why are you telling me to eat clean?,,,,,,,,2025-06-20 09:41:30.172246+00,,unknown
a8541bb8-dc36-4020-b362-182648613262,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,Because junk leads to a bigger waist. No excuses! 🥦,,,,,,chatcmpl-BkSXQr3aKQiIHJcXHjpwA634auRJ2,,2025-06-20 09:41:30.549015+00,goggins,system
4e3c9cc9-ab90-4272-9f34-6ae59487446f,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTVEQTE4NjRFNDQwQUYzMThDNAA=,incoming,"Anyway, I’m not gonna eat clean",,,,,,,,2025-06-20 09:41:54.069571+00,,unknown
8266ea88-6c99-4dd6-a5e5-613f6ad24c38,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTlFMUU4RUVCNzlBNDg1NzA2QwA=,incoming,Yo,,,,,,,,2025-06-20 09:42:14.211592+00,,unknown
87f89477-ae2a-484a-8242-6c7b657125c4,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,Stop the nonsense! Eating clean is non-negotiable! 🍏💪,,,,,,chatcmpl-BkSY8SVH660UXka0GxTotYoSZRroj,,2025-06-20 09:42:14.572033+00,goggins,system
7a15b91c-eb46-45b4-ab2b-961c9f0145c0,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTlFRUFCOEJGMTFDQTBBRjgzMAA=,incoming,Morning!,,,,,,,,2025-06-20 18:11:33.277677+00,,unknown
af9506ae-b5aa-4bc5-a9cb-4a40610d8d71,8b20f1a5-de91-46a5-a9f2-2fe601137228,,outgoing,Get moving! Time's ticking! 🕒💥,,,,,,chatcmpl-BkaV1KHXQm3IEV5PXqjZ5Y79KOOZH,,2025-06-20 18:11:33.628276+00,goggins,system
f813f875-d3ff-4913-a431-f312e370ab1c,8b20f1a5-de91-46a5-a9f2-2fe601137228,wamid.HBgLMTc4MTc0NzAwNDEVAgASGBQzQTIzREM3RTNCMzQ3MjdDMDcwNgA=,incoming,What?,,,,,,,,2025-06-20 18:11:43.314309+00,,unknown
